PROPERY_MAPPER,DATABASE_SCHEMA,COLUMN_DEFAULT,COLUMN_COMMENT
attribute_model,attribute_model,,
backend,backend_model,,
type,backend_type,,
table,backend_table,,
frontend,frontend_model,,
input,frontend_input,,
label,frontend_label,,
frontend_class,frontend_class,,
source,source_model,,
required,is_required,TRUE,
user_defined,is_user_defined,FALSE,
default,default_value,,
unique,is_unique,FALSE,
note,note,,
global,is_global,\Magento\Eav\Model\Entity\Attribute\ScopedAttributeInterface::SCOPE_GLOBAL,
